2	5.33
2.5	5.27
3	5.22
3.5	5.17
4	5.12
4.5	5.08
5	5.03
6	4.94
7	4.85
8	4.76
9	4.68
10	4.60
12	4.46
14	4.33
16	4.21
20	4.00
